#selected relevant GO terms that are associated with min 15% of HGNC's, i.e. 30 genes																			
ColSum	80	68	54	51	50	48	41	40	40	39	37	36	34	31	31	31	30	30	30
GO_Ids	GO:0016301	GO:0007165	GO:0045893	GO:0045944	GO:0008284	GO:0043066	GO:0006915	GO:0032991	GO:0006355	GO:0000122	GO:0010628	GO:0042803	GO:0003677	GO:0043065	GO:0003700	GO:0008285	GO:0046777	GO:0046982	GO:0004713
Gene_Ids/GO_Terms	kinase activity	signal transduction	positive regulation of transcription, DNA-templated	positive regulation of transcription by RNA polymerase II	positive regulation of cell proliferation	negative regulation of apoptotic process	apoptotic process	protein-containing complex	regulation of transcription, DNA-templated	negative regulation of transcription by RNA polymerase II	positive regulation of gene expression	protein homodimerization activity	DNA binding	positive regulation of apoptotic process	DNA-binding transcription factor activity	negative regulation of cell proliferation	protein autophosphorylation	protein heterodimerization activity	protein tyrosine kinase activity
ACVR1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AKT1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0
AKT1S1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AKT2	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
AKT3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAF	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF2	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0
AXIN1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
BAD	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
BAX	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0
BCL2	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0
BMPR2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRAF	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1
BTRC	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP3	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
CASP8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CASP9	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
CCND1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CDC42	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CFL1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CFL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFLAR	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
CHUK	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
CREBBP	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CSF1R	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1
CSK	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
CSNK1A1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK1D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK1E	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNB1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0
CYCS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DAAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKK1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
DKK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
DUSP6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DVL1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EGFR	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1
EGR1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0
EP300	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
ERBB2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1
ERBB3	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1
ERBB4	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1
FGFR1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1
FGFR2	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1
FGFR3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1
FGFR4	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1
FLT1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
FLT3	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1
FLT4	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1
FOS	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0
FOXO1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0
FOXO3	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0
FOXO4	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0
FZD1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FZD10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FZD2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FZD3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FZD4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
FZD5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FZD6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FZD7	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FZD8	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FZD9	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
GAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAB2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRB2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSK3A	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GSK3B	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
IGF1R	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1
IKBKB	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
IL6R	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IL6ST	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ILK	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
IRAK1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0
IRS1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITCH	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
JAK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
JAK2	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1
JUN	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0
KDR	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1
KIT	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1
KRAS	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LEF1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0
LIF	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
LIFR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIMK1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LIMK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LRP5	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP6	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MAP2K1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
MAP2K2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAP2K3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAP2K4	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
MAP2K7	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MAP3K11	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1
MAP3K4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K5	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
MAP3K7	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK1	1	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
MAPK14	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
MAPK3	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
MAPK8	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
MAPK8IP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK9	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
MAPKAPK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MDM2	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0
MET	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MLST8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP9	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
MTOR	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
MXD1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
MYC	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0
NFKB1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	1	0
NFKB2	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
NLK	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PAK1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0
PARD6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRA	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1
PDGFRB	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1
PDPK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PIAS1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
PIK3CA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCG1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
PPM1A	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PPP1CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
